eventDate ,eventID,occurrenceID ,decimalLatitude ,decimalLongitude ,eventTime ,habitat ,samplingProtocol ,scientificName ,taxonRank ,scientificNameID ,scientificNameAuthorship ,kingdom ,phylum ,class ,order ,family ,genus , measurementType , measurementUnit ,measurementValue
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Admete solida,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Admete solida,Species,urn:lsid:marinespecies.org:taxname:576338,"Aurivillius, 1885",Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,biomass,Grams per 1000 square meter,13.414
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Amphipoda,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Amphipoda,Order,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,biomass,Grams per 1000 square meter,0.61
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Anonyx,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Anonyx,Genus,urn:lsid:marinespecies.org:taxname:101592,"Krøyer, 1838",Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Anonyx,biomass,Grams per 1000 square meter,0.122
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Buccinum ciliatum,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum ciliatum,Species,urn:lsid:marinespecies.org:taxname:138860,"O. Fabricius, 1780",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,70.729
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Buccinum plectrum,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum plectrum,Species,urn:lsid:marinespecies.org:taxname:160127,"W. Stimpson, 1865",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,89.021
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Buccinum polare,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum polare,Species,urn:lsid:marinespecies.org:taxname:138873,"Gray, 1839",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,168.286
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Buccinum scalariforme,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum scalariforme,Species,urn:lsid:marinespecies.org:taxname:138875,"Møller, 1842",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,86.582
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Chionoecetes opilio,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Chionoecetes opilio,Species,urn:lsid:marinespecies.org:taxname:107315,"Fabricius, 1788",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,biomass,Grams per 1000 square meter,435.349
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Crangon dalli,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Crangon dalli,Species,urn:lsid:marinespecies.org:taxname:254486,"Rathbun, 1902",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,biomass,Grams per 1000 square meter,10.975
9/15/2023,SKQ202312S-DBO1.2,SKQ202312S-DBO1.2-Cryptonatica affinis,62.048664,-175.198946,11:30:48,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Cryptonatica affinis,Species,urn:lsid:marinespecies.org:taxname:140525,"Gmelin, 1791",Animalia,Mollusca,Gastropoda,Littorinimorpha,Ticidae,Cryptonatica,biomass,Grams per 1000 square meter,229.259
