eventID ,occurrenceID , eventDate , eventTime ,decimalLatitude ,decimalLongitude ,habitat ,samplingProtocol ,scientificName ,taxonRank ,scientificNameID ,scientificNameAuthorship ,kingdom ,phylum ,class ,order ,family ,genus , measurementType , measurementUnit ,measurementValue
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Acanthonotozoma inflatum,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Acanthonotozoma inflatum,Species,urn:lsid:marinespecies.org:taxname:101873,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Acanthonotozomatidae,Acanthonotozoma,biomass,Grams per 1000 square meter,0.133734006
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Arrhys luthkei,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Arrhys luthkei,Species,urn:lsid:marinespecies.org:taxname:423163,"Gurjanova, 1936",Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Arrhis,biomass,Grams per 1000 square meter,0.133734006
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Buccinum ciliatum,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum ciliatum,Species,urn:lsid:marinespecies.org:taxname:138860,"O. Fabricius, 1780",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,60.18030248
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Buccinum plectrum,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum plectrum,Species,urn:lsid:marinespecies.org:taxname:160127,"W. Stimpson, 1865",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,8.02404033
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Buccinum scalariforme,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Buccinum scalariforme,Species,urn:lsid:marinespecies.org:taxname:138875,"Møller, 1842",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,biomass,Grams per 1000 square meter,18.72276077
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Chionoecetes opilio,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Chionoecetes opilio,Species,urn:lsid:marinespecies.org:taxname:107315,"Fabricius, 1788",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,biomass,Grams per 1000 square meter,468.0690193
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Crangon dalli,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Crangon dalli,Species,urn:lsid:marinespecies.org:taxname:254486,"Rathbun, 1902",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,biomass,Grams per 1000 square meter,5.34936022
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Cryptonatica affinis,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Cryptonatica affinis,Species,urn:lsid:marinespecies.org:taxname:140525,"Gmelin, 1791",Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Cryptonatica,biomass,Grams per 1000 square meter,10.69872044
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Eualus gaimardii ,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Eualus gaimardii ,Species,urn:lsid:marinespecies.org:taxname:107504,"H. Milne Edwards, 1837",Animalia,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,biomass,Grams per 1000 square meter,0.668670028
SKQ202412S-DBO1.2,SKQ202412S-DBO1.2-Eualus macilentus,8/8/2024,15:24:01,62.05151,-175.217376,Benthos,"Plumb-staff beam trawl,  2.26m opening, 7-mm mesh net, 4-mm cod end liner",Eualus macilentus,Species,urn:lsid:marinespecies.org:taxname:158359,"Krøyer, 1841",Animalia,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,biomass,Grams per 1000 square meter,21.39744088
