samp_name,samp_category,neg_cont_type,pos_cont_type,materialSampleID,sample_derived_from,sample_composed_of,rel_cont_id,biological_rep_relation,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,verbatimCoordinateSystem,verbatimSRS,geo_loc_name,eventDate,eventDurationValue,verbatimEventDate,verbatimEventTime,env_broad_scale,env_local_scale,env_medium,habitat_natural_artificial_0_1,samp_collect_method,samp_collect_device,samp_size,samp_size_unit,samp_store_temp,samp_store_sol,samp_store_dur,samp_store_loc,dna_store_loc,samp_store_method_additional,samp_mat_process,filter_passive_active_0_1,stationed_sample_dur,pump_flow_rate,pump_flow_rate_unit,prefilter_material,size_frac_low,size_frac,filter_diameter,filter_surface_area,filter_material,filter_name,precip_chem_prep,precip_force_prep,precip_time_prep,precip_temp_prep,prepped_samp_store_temp,prepped_samp_store_sol,prepped_samp_store_dur,prep_method_additional,date_ext,samp_vol_we_dna_ext,samp_vol_we_dna_ext_unit,nucl_acid_ext_lysis,nucl_acid_ext_sep,nucl_acid_ext,nucl_acid_ext_kit,nucl_acid_ext_modify,dna_cleanup_0_1,dna_cleanup_method,concentration,concentration_unit,concentration_method,ratioOfAbsorbance260_280,pool_dna_num,nucl_acid_ext_method_additional,assay_name,minimumDepthInMeters,maximumDepthInMeters,tot_depth_water_col,temp,chlorophyll,salinity,diss_oxygen,diss_oxygen_unit,nitrate,nitrate_unit,nitrite,nitrite_unit,ammonium,ammonium_unit,phosphate,phosphate_unit,pressure,pressure_unit,silicate,silicate_unit,cruise_id,station_id,ctd_cast_number,ctd_bottle_number,replicate_number,extract_id,extract_plate,extract_well,collection_depth
e04258,sample,not applicable,not applicable,E1877.SKQ23-12S,E1877.SKQ23-12S,not applicable,,not applicable,-174.67402,62.19452,174° 40.410' W,62° 11.695' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-14T13:34:00Z,T0S/T1S,9/14/2023,5:34,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P236DT10H26M,2 mL of 96% molecular grade ethanol used for preservation.,5/8/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,4.16,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,65.929,66.929,71,-1.5216,0.0832,31.837,280.045,mmol/kg,13,µmol/L,0.04,µmol/L,2.77,µmol/L,1.905,µmol/L,67.589,dbar,41.1,µmol/L,SKQ23 EcoFOCI DBO,M8,1,1,1,e04258,35_2024,F8,67.7
e04259,sample,not applicable,not applicable,E1878.SKQ23-12S,E1878.SKQ23-12S,not applicable,,not applicable,-174.674,62.19454,174° 40.410' W,62° 11.695' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-14T13:44:00Z,T0S/T1S,9/14/2023,5:44,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P236DT10H16M,2 mL of 96% molecular grade ethanol used for preservation.,5/8/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,4.06,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,29.104,30.104,71,-1.2925,0.3901,31.5575,356.9,mmol/kg,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,30.398,dbar,missing: not collected,not applicable,SKQ23 EcoFOCI DBO,M8,1,12,1,e04259,35_2024,G8,30
e04260,sample,not applicable,not applicable,E1879.SKQ23-12S,E1879.SKQ23-12S,not applicable,,not applicable,-174.67401,62.19454,174° 40.410' W,62° 11.695' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-14T13:51:00Z,T0S/T1S,9/14/2023,5:51,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P236DT10H9M,2 mL of 96% molecular grade ethanol used for preservation.,5/8/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,10.4,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,9.24,10.24,71,7.7534,0.936,30.779,287.982,mmol/kg,0,µmol/L,0.01,µmol/L,0.04,µmol/L,0.53,µmol/L,10.339,dbar,1.5,µmol/L,SKQ23 EcoFOCI DBO,M8,1,18,1,e04260,35_2024,H8,10
e04103,sample,not applicable,not applicable,E1880.SKQ23-12S,E1880.SKQ23-12S,not applicable,,not applicable,-175.06118,62.0098,175° 03.599' W,62° 00.602' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-15T05:31:00Z,T0S/T1S,9/14/2023,21:31,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P234DT18H29M,2 mL of 96% molecular grade ethanol used for preservation.,5/7/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,2.46,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,72.483,73.483,80,-0.7691,missing: not collected,31.9484,250.053,mmol/kg,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,74.207,dbar,missing: not collected,not applicable,SKQ23 EcoFOCI DBO,DBO1.1,2,1,1,e04103,34_2024,A1,74.2
e04104,sample,not applicable,not applicable,E1881.SKQ23-12S,E1881.SKQ23-12S,not applicable,,not applicable,-175.06098,62.0098,175° 03.599' W,62° 00.602' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-15T05:39:00Z,T0S/T1S,9/14/2023,21:39,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P234DT18H21M,2 mL of 96% molecular grade ethanol used for preservation.,5/7/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,6.19,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,29.309,30.309,80,-1.1017,missing: not collected,31.473,346.362,mmol/kg,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,30.604,dbar,missing: not collected,not applicable,SKQ23 EcoFOCI DBO,DBO1.1,2,10,1,e04104,34_2024,B1,30
e04105,sample,not applicable,not applicable,E1882.SKQ23-12S,E1882.SKQ23-12S,not applicable,,not applicable,-175.06122,62.0098,175° 03.599' W,62° 00.602' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-15T05:46:00Z,T0S/T1S,9/14/2023,21:46,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P234DT18H14M,2 mL of 96% molecular grade ethanol used for preservation.,5/7/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,13.4,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,9.368,10.368,80,7.4707,0.8035,30.6707,292.993,mmol/kg,1.45,µmol/L,0.035,µmol/L,0.46,µmol/L,0.759,µmol/L,10.468,dbar,2.6,µmol/L,SKQ23 EcoFOCI DBO,DBO1.1,2,16,1,e04105,34_2024,C1,10
e04106,sample,not applicable,not applicable,E1883.SKQ23-12S,E1883.SKQ23-12S,not applicable,,not applicable,-175.20878,62.05014,175° 12.681' W,62° 03.024' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-15T08:07:00Z,T0S/T1S,9/14/2023,0:07,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P235DT15H53M,2 mL of 96% molecular grade ethanol used for preservation.,5/8/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,1.86,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,73.882,74.882,81,-0.9855,0.0461,31.9119,254.253,mmol/kg,16.7,µmol/L,0.06,µmol/L,2.88,µmol/L,2.089,µmol/L,75.621,dbar,51.6,µmol/L,SKQ23 EcoFOCI DBO,DBO1.2,3,1,1,e04106,34_2024,D1,75
e04107,sample,not applicable,not applicable,E1884.SKQ23-12S,E1884.SKQ23-12S,not applicable,,not applicable,-175.20864,62.05016,175° 12.681' W,62° 03.024' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-15T08:18:00Z,T0S/T1S,9/14/2023,0:18,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P235DT15H42M,2 mL of 96% molecular grade ethanol used for preservation.,5/8/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,5.03,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,26.16,27.16,81,-1.3386,2.4154,31.3536,366.124,mmol/kg,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,27.424,dbar,missing: not collected,not applicable,SKQ23 EcoFOCI DBO,DBO1.2,3,12,1,e04107,34_2024,E1,30
e04108,sample,not applicable,not applicable,E1885.SKQ23-12S,E1885.SKQ23-12S,not applicable,,not applicable,-175.2095,62.05002,175° 12.681' W,62° 03.024' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-15T08:24:00Z,T0S/T1S,9/14/2023,0:24,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P235DT15H36M,2 mL of 96% molecular grade ethanol used for preservation.,5/8/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,7.52,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,9.105,10.105,81,7.3349,0.7771,30.6496,293.867,mmol/kg,0,µmol/L,0.01,µmol/L,0,µmol/L,0.536,µmol/L,10.203,dbar,1.6,µmol/L,SKQ23 EcoFOCI DBO,DBO1.2,3,17,1,e04108,34_2024,F1,10
e04109,sample,not applicable,not applicable,E1886.SKQ23-12S,E1886.SKQ23-12S,not applicable,,not applicable,-174.5696,62.38978,174° 34.200' W,62° 23.400' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-15T22:19:00Z,T0S/T1S,9/15/2023,14:19,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P235DT1H41M,2 mL of 96% molecular grade ethanol used for preservation.,5/8/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,2.83,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,64.336,65.336,71,-1.5235,0.0661,31.899,284.281,mmol/kg,12.5,µmol/L,0.04,µmol/L,2.71,µmol/L,1.861,µmol/L,65.981,dbar,39.8,µmol/L,SKQ23 EcoFOCI DBO,DBO1.4,5,1,1,e04109,34_2024,G1,66.2
e04110,sample,not applicable,not applicable,E1887.SKQ23-12S,E1887.SKQ23-12S,not applicable,,not applicable,-174.5696,62.38978,174° 34.200' W,62° 23.400' N,degrees minutes seconds,WGS84,USA: Bering Sea,2023-09-15T22:30:00Z,T0S/T1S,9/15/2023,14:30,oceanic epipelagic zone biome [ENVO:01000035],marine photic zone [ENVO:00000209],ocean water [ENVO:00002149],0,https://zenodo.org/records/11398179,Niskin Bottle,1000,mL,ambient temperature,not applicable,T1H,Sikuliaq,OME -80 Freezer,Stored in a 1 L brown Nalgene bottle,Water samples were collected from the niskin into 1 L bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump with tubing attached to the outlet end of the sterivex.,1,not applicable,missing: not collected,not applicable,not applicable,not applicable,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,P235DT1H30M,2 mL of 96% molecular grade ethanol used for preservation.,5/8/2024,1000,mL,physical | enzymatic | thermal,column-based,https://zenodo.org/records/14902117,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,6.96,ng/µl,Qubit Fluorometer v.4 dsDNA high sensitivity kit,not applicable,1,Extractions completed in a Biosafety Cabinet for sterility purposes. ,mifish-u-12s | marver1,23.163,24.163,71,2.226,0.964,31.4902,373.131,mmol/kg,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,24.399,dbar,missing: not collected,not applicable,SKQ23 EcoFOCI DBO,DBO1.4,5,12,1,e04110,34_2024,H1,30
