proj,predator,prey_genus,ancombc_x,ancombc_sig,in_dataset,pct_sites,reference,notes
AMBON,Odobenus rosmarus,Acantholumpenus,0,0,0,NA,Maniscalco et al. 2019,Bristol Bay
AMBON,Phocoena phocoena,Cymatogaster,0,0,0,NA,Nichol et al. 2013,Salish Sea
AMBON,Phocoena phocoena,Engraulis,0,0,0,NA,"Sekiguchi 1995, Nichol et al. 2013","California, Salish Sea"
AMBON,Odobenus rosmarus,Eumesogrammus,0,0,0,NA,Maniscalco et al. 2019,Bristol Bay
AMBON,Odobenus rosmarus,Microstomus,0,0,0,NA,Maniscalco et al. 2019,Bristol Bay
AMBON,Odobenus rosmarus,Parophrys,0,0,0,NA,Maniscalco et al. 2019,Bristol Bay
AMBON,Erignathus barbatus,Pleuronectidae,0,0,0,NA,Quakenbush et al. 2011; Crawford et al. 2015,Alaska
AMBON,Pusa hispida,Pleuronectidae,0,0,0,NA,Quakenbush et al. 2011,Alaska
AMBON,Eschrichtius robustus,Sardinops,0,0,0,NA,Webber et al. 2024,
AMBON,Phocoena phocoena,Sardinops,0,0,0,NA,Nichol et al. 2013,Salish Sea
AMBON,Erignathus barbatus,Gadus,0,0,1,70,Crawford et al. 2015,Alaska; Gadidae
AMBON,Phocoena phocoena,Gadus,0,0,1,70,,
AMBON,Pusa hispida,Gadus,0,0,1,70,Crawford et al. 2015,Alaska; Gadidae
AMBON,Erignathus barbatus,Theragra,0,0,0,70,Quakenbush et al. 2011,Alaska
AMBON,Pusa hispida,Theragra,0,0,0,70,Quakenbush et al. 2011,Alaska
AMBON,Erignathus barbatus,Ammodytes,1,0,1,53.3,Quakenbush et al. 2011,Alaska
AMBON,Odobenus rosmarus,Ammodytes,1,1,1,53.3,Maniscalco et al. 2019,Bristol Bay
AMBON,Phocoena phocoena,Ammodytes,1,1,1,53.3,,
AMBON,Pusa hispida,Ammodytes,0,0,1,53.3,Quakenbush et al. 2011,Alaska
AMBON,Erignathus barbatus,Clupea,0,0,1,32.7,Quakenbush et al. 2011; Crawford et al. 2015,Alaska
AMBON,Odobenus rosmarus,Clupea,1,1,1,32.7,,
AMBON,Phocoena phocoena,Clupea,1,0,1,32.7,"Nichol et al. 2013, Fontaine et al. 1994","Salish Sea, Gulf of St Lawrence"
AMBON,Pusa hispida,Clupea,1,1,1,32.7,Quakenbush et al. 2011; Crawford et al. 2015,Alaska
AMBON,Erignathus barbatus,Boreogadus,1,1,1,26,Quakenbush et al. 2011; Crawford et al. 2015,Alaska
AMBON,Eschrichtius robustus,Boreogadus,1,1,1,26,,
AMBON,Odobenus rosmarus,Boreogadus,1,1,1,26,,
AMBON,Phocoena phocoena,Boreogadus,1,1,1,26,,
AMBON,Pusa hispida,Boreogadus,0,0,1,26,Quakenbush et al. 2011; Crawford et al. 2015,Alaska
AMBON,Erignathus barbatus,Liparis,0,0,1,24.7,Quakenbush et al. 2011; Crawford et al. 2015,Alaska
AMBON,Eschrichtius robustus,Oncorhynchus,1,0,1,19.3,,
AMBON,Odobenus rosmarus,Oncorhynchus,1,0,1,19.3,,
AMBON,Phocoena phocoena,Oncorhynchus,1,0,1,19.3,,
AMBON,Erignathus barbatus,Lycodes,0,0,1,18,Quakenbush et al. 2011,Alaska
AMBON,Pusa hispida,Lycodes,0,0,1,18,Quakenbush et al. 2011,Alaska
AMBON,Erignathus barbatus,Mallotus,0,0,1,14,,Alaska
AMBON,Odobenus rosmarus,Mallotus,1,0,1,14,,
AMBON,Phocoena phocoena,Mallotus,1,0,1,14,Fontaine et al. 1994,Gulf of St Lawrence
AMBON,Pusa hispida,Mallotus,0,0,1,14,Quakenbush et al. 2011,Alaska
AMBON,Odobenus rosmarus,Anisarchus,1,0,1,12.7,Maniscalco et al. 2019,Bristol Bay
AMBON,Erignathus barbatus,Eleginus,1,0,1,11.3,Quakenbush et al. 2011; Crawford et al. 2015,Alaska
AMBON,Odobenus rosmarus,Eleginus,1,0,1,11.3,,
AMBON,Phocoena phocoena,Eleginus,0,0,1,11.3,,
AMBON,Pusa hispida,Eleginus,0,0,1,11.3,Quakenbush et al. 2011,Alaska
AMBON,Erignathus barbatus,Gymnocanthus,0,0,1,11.3,Quakenbush et al. 2011,Alaska
AMBON,Odobenus rosmarus,Gymnocanthus,1,0,1,11.3,,
AMBON,Phocoena phocoena,Gymnocanthus,1,1,1,11.3,,
AMBON,Pusa hispida,Gymnocanthus,1,0,1,11.3,Quakenbush et al. 2011,Alaska
AMBON,Erignathus barbatus,Myoxocephalus,0,0,1,8,Quakenbush et al. 2011,Alaska
AMBON,Pusa hispida,Myoxocephalus,0,0,1,8,Quakenbush et al. 2011,Alaska
AMBON,Phocoena phocoena,Sebastes,0,0,1,3.3,"Sekiguchi 1995, Walker et al.1998, Fontaine et al. 1994",California; juvenile rockfish
AMBON,Odobenus rosmarus,Lumpenus,0,0,1,2,Maniscalco et al. 2019,Bristol Bay
AMBON,Pusa hispida,Lumpenus,0,0,1,2,Quakenbush et al. 2011,Alaska
AMBON,Erignathus barbatus,Enophrys,0,0,1,0.7,Quakenbush et al. 2011,Alaska
AMBON,Erignathus barbatus,Osmerus,0,0,1,0.7,Quakenbush et al. 2011,Alaska
AMBON,Eschrichtius robustus,Osmerus,0,0,1,0.7,Webber et al. 2024,
AMBON,Pusa hispida,Osmerus,0,0,1,0.7,Quakenbush et al. 2011,Alaska
MURI,Phocoena phocoena,Citharichthys,0,0,1,29.6,,
MURI,Lagenorhynchus obliquidens,Clupea,1,0,1,19.9,NOAA website,
MURI,Megaptera novaeangliae,Clupea,1,0,1,19.9,"Fleming et al. 2016, Robinson et al. 2025",California
MURI,Mirounga angustirostris,Clupea,1,0,1,19.9,,
MURI,Phocoena phocoena,Clupea,1,1,1,19.9,"Nichol et al. 2013, Walker et al.1998",Salish Sea
MURI,Zalophus californianus,Clupea,1,0,1,19.9,,California
MURI,Berardius bairdii,Cololabis,0,0,1,13.7,,
MURI,Lagenorhynchus obliquidens,Cololabis,0,0,1,13.7,Hiroshi et al. 1980,California
MURI,Lagenorhynchus obliquidens,Cololabis,1,0,1,13.7,Hiroshi et al. 1980,
MURI,Megaptera novaeangliae,Cololabis,1,0,1,13.7,,
MURI,Mirounga angustirostris,Cololabis,1,0,1,13.7,,
MURI,Phocoena phocoena,Cololabis,1,0,1,13.7,,
MURI,Zalophus californianus,Cololabis,1,0,1,13.7,,
MURI,Berardius bairdii,Coryphaenoides,0,0,0,NA,"Walker et al. 2022, Ohizumi et al. 2003",Japan
MURI,Mirounga angustirostris,Coryphaenoides,0,0,0,NA,Antonelis et al. 1987,
MURI,Phocoena phocoena,Cymatogaster,0,0,0,NA,Nichol et al. 2013,Salish Sea
MURI,Mirounga angustirostris,Diaphus,0,0,1,56.4,Goetsch et al. 2018,NE Pacific
MURI,Berardius bairdii,Engraulis,0,0,1,37.8,Ohizumi et al. 2003,Japan
MURI,Lagenorhynchus obliquidens,Engraulis,1,1,1,37.8,Hiroshi et al. 1980,California
MURI,Megaptera novaeangliae,Engraulis,1,1,1,37.8,"Fleming et al. 2016, Markowitz et al. 2024",California
MURI,Mirounga angustirostris,Engraulis,1,1,1,37.8,,
MURI,Phocoena phocoena,Engraulis,1,1,1,37.8,"Sekiguchi 1995, Nichol et al. 2013","California, Salish Sea"
MURI,Zalophus californianus,Engraulis,1,1,1,37.8,Lowry et al. 2022,California
MURI,Berardius bairdii,Laemonema,0,0,0,NA,Walker et a. 2022,Japan
